song,artist,chords,date added,genre,lyrics,notes,times requested
Everything I Say,Vic Chestnut ,"EVERYTHING I SAY
the barn fell down
since i saw it last
it's rubble now
well so much for the past
everything that i say
does me this'a way
everything, every little thing i say...
does me this'a way
some call her a thief
and some people call her a prophet
but her courage is brief
brief as little, little miss muffet
everything that i say
does me this'a way
everything, every little thing i say
does me this'a way
she wanted to
be an inventor
but nothing new
was all she could muster",,,"EVERYTHING I SAY
the barn fell down
since i saw it last
it's rubble now
well so much for the past
everything that i say
does me this'a way
everything, every little thing i say...
does me this'a way
some call her a thief
and some people call her a prophet
but her courage is brief
brief as little, little miss muffet
everything that i say
does me this'a way
everything, every little thing i say
does me this'a way
she wanted to
be an inventor
but nothing new
was all she could muster",,
The Boxer,Simon and Garfunkel,NOT READY,,,,,
Like a Virgin,Madonna,NOT READY,,,,,
Bobby McGee,Janis Joplin,NOT READY,,,,,
Loving Cup,"Rolling Stones, The",NOT READY,,,,,
Hey Bulldog,"Beatles, The",NOT READY,,,,,
Insistor,Tapes ‘n Tapes,Not READY,,,,,
1901,Phoenix,"(rest. rest) DMaj7 / / / / (rest rest) F#m / / / / (rest rest) A / / / / (rest rest) A/F#
Counting all different ideas drifting away
Past and present, they don't matter, now the future's sorted out
Watch her moving in elliptical patterns
Think it's not what you say, what you say is way too complicated
For a minute thought I couldn't tell how to fall out
(like U2’s bad) Asus4 A Asus4 A Asus4 A
It's twenty seconds until the last call You're going, ""Hey, hey, hey, hey, hey, hey""
E
Lie down you know it's easy Like we did it over summer long
Asus4 A Asus4 A Asus4 A
And I'll be anything you ask and more goin Hey, hey, hey, hey, hey, hey, hey""
E
It's not a miracle we needed No, I wouldn't let you think so
MAIN RIFF
Fold it, fold it, fold it, fold it
Girlfriend, oh your girlfriend is drifting away
Past and present, 1855-1901
Watch them build up a material tower
Think it's not gonna stay anyway, think it's overrated
For a minute thought I couldn't tell how to fall out
It's twenty seconds until the last call
You're going, ""Hey, hey, hey, hey, hey, hey""
Lie down you know it's easy
Like we did it over summer long
And I'll be anything you ask and more
You're going, ""Hey, hey, hey, hey, hey, hey, hey""
It's not a miracle we needed
No, I wouldn't let you think so
Fold it, fold it, fold it, fold it 
end with Asus4 A Asus4 A Asus4 A",,,"Counting all different ideas drifting away
Past and present, they don't matter, now the future's sorted out
Watch her moving in elliptical patterns think it's 
not what you say, what you say is way too complicated
...For a minute thought I couldn't tell how to fall out
It's twenty seconds til the last call
going, ""Hey, hey, hey, hey, hey, hey""
Lie down you know it's easy
Like we did it all the summer long
And I'll be anything you ask and more
going, ""Hey, hey, hey, hey, hey, hey, hey""
It's not a miracle we needed
No, I wouldn't let you think so
Fold it, fold it, fold it, fold it
....Girlfriend, oh your girlfriend is drifting away
Past and present, 1855, 19 oh-- 1
Watch... them... build up a material tower think it's 
not... gonna stay... anyway, think it's overrated
...For a minute thought I couldn't tell how to fall out
It's twenty seconds til the last call
going, ""Hey, hey, hey, hey, hey, hey""
Lie down you know it's easy
Like we did it all the summer long
And I'll be anything you ask and more
going, ""Hey, hey, hey, hey, hey, hey, hey""
It's not a miracle we needed
No, I wouldn't let you think so
Fold it, fold it, fold it, fold it ",,1
Lisztomania,Phoenix,"Start swung chugging on C. Add D string thing with C bass note.
changing bass notes against: D----5--5--5--2-2-2-2-0-0-0---------------
                                                A-----------------------------------------------
                                                E-----------------------------------------------
BASS NOTES for VERSE:            D           A           F          A       G  E
                                                      F           D           B+         A  C  F E
So sentimental. Not sentimental no  Romantic not discussing it. ...Dar--ling I’m 
down and lonely...    When with the fortunate only...   I’ve been looking for 
something else, Do let do let do 
let juggle-let do let do Let’s go 
slow-ly discouraged...  Distant from other interests
On... your favorite weekend ending this... love’s... for... 
gentlemen only... That’s with the fortunate only... No I gotta be 
someone else these days it comes it 
comes it comes it comes it comes and goes
F                  Dm             G                    
Lisztomania Think less but see it grow Like a riot, like a riot, oh !
not easily offended not hard to let it go
From a mess to the masses                           x2  (2nd time strum)
 Verse     D           A           F          A       G  E
                F           D           B+         A  C  F E
Follow, misguide, stand still Disgust, discourage
On this precious weekend         ...gentlemen only... ....
let juggle- let do let do let’s go
slowly, discouraged ......  Thought it could have been 
something else, these days it comes it 
comes it comes it comes it comes and goes
CHORUS              x2 
CHUG ON C, like intro, high note is always 5th fret of D string
Cm           Csus4               Csus4
“mmmm  This is your time x2”
(INTENSE) Ab          F9                                                                      
                 Time...     time it’s ur lov  time it’s your lov time it’s ur love     x2
(QUIET GUITAR BREAK - C CHUG) 
then change bass notes again over high note drone:   F9     Dm     Am7
                                               
From a mess to the masses  
  F9                    Dm                                         Am7
Lisztomania       Think less but see it grow Like a riot, like a riot, oh !
not easily offended not hard to let it go
discuss - discuss - discuss - discuss - discuss - discouraged ",,,"So sentimental. Not sentimental no 
Romantic not discussing it. ...Dar--ling I’m 
down and lonely...    When with the 
fortunate only...   I’ve been looking for 
something else, Do let do let do 
let juggle-let do let do Let’s go 
slow-ly discouraged...  Distant from other interests
On... your favorite weekend 
ending this... love’s... for... 
gentlemen only... That’s with the 
fortunate only... No I gotta be 
someone else these days it comes it 
comes it comes it comes it comes and goes
Lisztomania
Think less but see it grow
Like a riot, like a riot, oh !
not easily offended
not hard to let it go
From a mess to the masses                x2 
Follow, misguide, stand still
Disgust, discourage
On... this precious weekend 
ending this love’s for 
gentlemen only... Wealthiest 
gentlemen only... and now that you’re 
lonely... Do let do let do
let juggle- let do let do let’s go
slowly, discouraged,
We’ll burn the pictures instead
...When it’s all over we can 
barely dis...cuss... for 
one minute only... Not with the 
fortunate only...  Thought it could have been 
something else, these days it comes it 
comes it comes it comes it comes and goes
CHORUS              x2     
mmmm  This is your time this is your time  this is your dime
mmmm  This is your time this is your time  this is your town
Time... time it’s your love  time it’s your love this time it’s your love
Time... time it’s your love  time it’s your love this time it’s your love
(GUITAR BREAK)
From a mess to the masses!
Lisztomania
Think less but see it grow
Like a riot, like a riot, oh !
discuss - discuss - discuss - discuss - discuss - discouraged ",,1
Time to Pretend,MGMT,"note: G11 = 3556xx  G12 = 3557xx   practice Norwegian wood section
INTRO RIFF:
D-----7----7----7----7----5----4----5---7------------
A--5----5----5----5----5----5----5---5--------------
E-------------------------------------------
D                                            G9                                            D    AD     AD
I'm feeling rough, I'm feeling raw, I'm in the prime of my life.
Let's make some music, make some money, find some models for wives.
I'll move to Paris, shoot some heroin, and fuck with the stars.
You man the island and the cocaine and the elegant cars.
G                                   G11                     G12                              G11                    
This is our dcision 2 liv fast and die yung Weve got th vsion now lets hav som fun
| D         |              |              |               |
G                                   G11                     G12                              G11   
Ya it's overwhlmig, but what els can wedo Get jbs in offis wak up for mrning cmute.
| D         |              |              |               |
A                                                           F#m                        G
Forget about our mothers and our friends               We're fated to pretend
MELODY: (can play D chord instead of 11)
       D    D
G--11--11----9--7--6--4--2-----------
D (sounds with every note, like Norwegian wood)                   x8
To pretend -   We're fated to pretend  -   To pretend
D(held)                                         G9(held)                                   D     AD...
I'll miss the playgrounds and the animals and digging up worms
I'll miss the comfort of my mother and the weight of the world
D(kicks back in)                           G9(held)                                   D     AD  AD
I'll miss my sister, miss my father, miss my dog and my home
Yeah, I'll miss the boredom and the freedom and the time spent alone.
G                                   G11                     G12                              G11                    
Theres really nothin nothin we can do Lov mst be fgotten life can always startup anew
| D         |              |              |               |
G                                   G11                     G12                              G11  
models will have childrn well get a divrce find somor models evrythin must run its cors
| D         |              |              |               |
A                                                                     F#m                        G             
We'll choke on our vomit and that will be the end We were fated to pretend
Norwegian wood part
To pretend -   We're fated to pretend  -   To pretend
Yeah, yeah, yeah   Yeah, yeah, yeah   Yeah, yeah, yeah   Yeah, yeah, yeah
",,,"I'm feeling rough, I'm feeling raw, I'm in the prime of my life.
Let's make some music, make some money, find some models for wives.
I'll move to Paris, shoot some heroin, and fuck with the stars.
You man the island and the cocaine and the elegant cars.
This is our decision, to live fast and die young.
We've got the vision, now let's have some fun.
Yeah, it's overwhelming, but what else can we do.
Get jobs in offices, and wake up for the morning commute.
Forget about our mothers and our friends
We're fated to pretend
To pretend
We're fated to pretend
To pretend
I'll miss the playgrounds and the animals and digging up worms
I'll miss the comfort of my mother and the weight of the world
I'll miss my sister, miss my father, miss my dog and my home
Yeah, I'll miss the boredom and the freedom and the time spent alone.
There's really nothing, nothing we can do
Love must be forgotten, life can always start up anew.
The models will have children, we'll get a divorce
We'll find some more models, everything must run it's course.
We'll choke on our vomit and that will be the end
We were fated to pretend
To pretend
We're fated to pretend
To pretend
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
",,5
Son of a Preacher Man,Dusty Springfield,NOT READY,,,,,1
Ain’t No Sunshine,Bill Withers,"Am            Em               G            Am
Ain't no sunshine when she's  gone.
     It's not warm  when she's away.
                                                 Dm                                                C
  Ain't no sunshine when she's gone, and she's always gone too long,
   Am          Em         Am
  anytime  she goes away.
  Am                Em          G              Am
Wonder        this time where she's gone.
Wonder          if she's gone  to stay.
                                                      Dm                                                 C
  Ain't no sunshine when she's gone, and this house just ain't no home,
         Am    Em   Am
  anytime  she goes away.
           Am                                             (stop chords)- Capella
    And I know, I know, I know, I know, 
    I know, I know, I know, I know, I know, 
    I know, I know, I know, I know, I know, 
    I know, I know, I know, I know, I know, 
    I know, I know, I know, I know, I know, 
    I know, I know... Hey, I oughta leave young thing alone,
                Am    Em                  G    Am
    but ain't no sunshine when she's  gone.
                         Am    Em   G    Am
Ain't no sunshine when she's  gone.
    Am    Em        G               Am
Only darkness everyday.
                                                    Dm                                            C                           
  Ain't no sunshine when she's gone, and this house just ain't no home,
    Am            Em   G    Am
  anytime  she goes away.
   Am             Em   G    Am
  anytime  she goes away.
 Am             Em   G    Am
 anytime  she goes away.
 Am             Em   G    Am
 anytime  she goes away.",,,"Ain't no sunshine when she's gone.
It's not warm when she's away.
Ain't no sunshine when she's gone
and she's always gone too long
anytime she goes away.
Wonder this time where she's gone,
wonder if she's gone to stay
Ain't no sunshine when she's gone
and this house just ain't no home
anytime she goes away.
And I know, I know, I know, I know, 
I know, I know, I know, I know, 
I know, I know, I know, I know, 
I know, I know, I know, I know, 
I know, I know, I know, I know, 
I know, I know, I know, I know, 
I know, I know, Hey, I ought to 
leave the young thing alone,
but ain't no sunshine when she's gone,
ain't no sunshine when she's gone,
only darkness everyday.
Ain't no sunshine when she's gone,
and this house just ain't no home
anytime she goes away.
Anytime she goes away.
Anytime she goes away.
Anytime she goes away.
Anytime she goes away",,3
Just Like Heaven,"Cure, The",NOT READY,,,,,1
"New York, I love you??",LCD Soundsystem,"F                                F                                     Dm              C#
New York, I Love You But you're bringing me down
New York, I Love You But you're bringing me down
Like a rat in a cage Pulling minimum wage
New York, I Love You But you're bringing me down
New York, you're safer And you're wasting my time
...
And oh.. Take me off your mailing list
For kids who think it still exists
Yes, for those who think it still exists
Maybe I'm wrong And maybe you're right
Maybe I'm wrong And maybe you're right
Maybe you're right Maybe I'm wrong
And just maybe you're right...
FFFF.... (BIG ROCK)   FFFF....    DmDmDmDm    C#C#C#C#
And Oh..
Maybe mother told you true
And they're always be something there for you
And you'll never be alone
But maybe she's wrong And maybe I'm right
And just maybe she's wrong
Maybe she's wrong And maybe I'm right
And if so, is there?",,,"New York, I Love You But you're bringing me down
New York, I Love You But you're bringing me down
Like a rat in a cage Pulling minimum wage
New York, I Love You But you're bringing me down
New York, you're safer And you're wasting my time
Our records all show You are filthy but fine
But they shuttered your stores When you opened the doors
To the cops who were bored Once they'd run out of crime
New York, you're perfect Don't please don't change a thing
Your mild billionaire mayor's Now convinced he's a king
So the boring collect I mean all disrespect
In the neighborhood bars I'd once dreamt I would drink
New York, I Love You But you're freaking me out
There's a ton of the twist But we're fresh out of shout
Like a death in the hall That you hear through your wall
New York, I Love You But you're freaking me out
New York, I Love You But you're bringing me down
New York, I Love You But you're bringing me down
Like a death of the heart...     Jesus, where do I start?
But you're still the one pool Where I'd happily drown
And oh.. Take me off your mailing list
For kids who think it still exists
Yes, for those who think it still exists
Maybe I'm wrong And maybe you're right
Maybe I'm wrong And maybe you're right
Maybe you're right Maybe I'm wrong
And just maybe you're right
And Oh..
Maybe mother told you true
And they're always be something there for you
And you'll never be alone
But maybe she's wrong And maybe I'm right
And just maybe she's wrong
Maybe she's wrong And maybe I'm right
And if so, is there?",,13
Joey,Concrete Blonde,NOT READY,,,,,1
Hypnotize,Notorious B.I.G (Dan Black version),"89 bpm hiphop beat
chorus:   C G C G C F C G C G
verse:  F C G F
C
Biggie Biggie Biggie can't you see
G                                                                    C                       G
Sometimes your words just hypnotize me...
C
And I just love your flashy ways
F
Guess that's why they broke, and you're so paid 
C
Biggie Biggie can't you see
G                                                                       C                          G
Sometimes your words just hypnotize me 
verse 1:
sicker than your average Poppa Twist ...
.... Oh asking who want it, you got it baby flaunt it
That Brooklyn bullshit, we on it
verse 2:
I put hoes in NY onto DKNY ...
...At my arraignment, note for the plantiff
Your daughter's tied up in a Brooklyn basement 
verse 3:
I can fill ya wit real millionaire shit...
...for certain, Poppa freaking, not speaking
Leave that ass leakin, 
",,,"sicker than your average Poppa... Twist 
cabbage off instinct people don't think shit 
stink pink gators, my Detroit players
Timbs for my hooligans in Brooklyn
Dead right, if they head right, Biggie there every night
Poppa been smooth since days of Underroos Never lose, 
never choose to, bruise crews who
do something to us, talk go through us
Girls walk to us, wanna do us, screw us
Who us? Yeah, Poppa and Puff
Close like Starsky and Hutch, stick the clutch
Dare I squeeze three at your cherry M-3
Bang every MC easily, busily
Recently people fronting ain't saying nothing
Oh asking who want it, you got it baby flaunt it
That Brooklyn bullshit, we on it
CHORUS
Biggie Biggie Biggie can't you see
Sometimes your words just hypnotize me...
And I just love your flashy ways
Guess that's why they broke, and you're so paid
Biggie Biggie can't you see
Sometimes your words just hypnotize me 
[Verse Two:]
I put hoes in NY onto DKNY 
Miami, D.C. prefer Versace 
All Philly hoes, dough and Moschino 
Every cutie wit a booty bought a Coogi  Now who's the real 
dookie, meaning who's really the shit
Them niggas ride dicks, Frank White push the sticks
on the Lexus, LX, four and a half
Bulletproof glass tints if I want some ass
Gonna blast squeeze first ask questions last
That's how most of these so-called gangsters pass
At last, someone rappin bout blunts and broads
Tits and bras, ménage à trois, sex in expensive cars
I still leave you on the pavement
Condo paid for, no car payment
At my arraignment, note for the plantiff
Your daughter's tied up in a Brooklyn basement ",,2
Redemption Song,Bob Marley,E,,,"Old pirates, yes, they rob I;
Sold I to the merchant ships,
Minutes after they took I
From the bottomless pit.
But my hand was made strong
By the hand of the Almighty.
We forward in this generation
Triumphantly.
Won't you help to sing
These songs of freedom?
'Cause all I ever have:
Redemption songs,
Redemption songs.
Emancipate yourselves from mental slavery;
None but ourselves can free our minds.
Have no fear for atomic energy,
'Cause none of them can stop the time.
How long shall they kill our prophets,
While we stand aside and look? Ooh!
Some say it's just a part of it:
We've got to fulfill the Book.
Won't you help to sing
These songs of freedom?
'Cause all I ever have:
Redemption songs,
Redemption songs,
Redemption songs.
---
/Guitar break/
---
Emancipate yourselves from mental slavery;
None but ourselves can free our mind.
Wo! Have no fear for atomic energy,
'Cause none of them-a can-a stop-a the time.
How long shall they kill our prophets,
While we stand aside and look?
Yes, some say it's just a part of it:
We've got to fulfill the book.
Won't you have to sing
These songs of freedom? -
'Cause all I ever had:
Redemption songs -
All I ever had:
Redemption songs:
These songs of freedom,
Songs of freedom. ",,9
Criminal,Fiona Apple,"NOT READY
Verse:
Am                F7
Ive been a bad bad girl,
Am                       F7
Ive been careless with a delicate man.
Am                F7
And its a sad sad world,
Am                     
When a girl can break a boy
F7
Just because she can.
Pre-Chorus
C        Bb              F7
Dont you tell me to deny it,
              C   
Ive done wrong and I want to
Bb            Am
Suffer for my sins.
C               Bb
Ive come to you cause I need
Ab7                  G7
Guidance to be true
           F7                           Ab7
And I just dont know where I can begin.
Chorus:
F7               Cm
What I need is a good defense
         F7                 Cm
cause Im feelin like a criminal.
      F7   
And I need to be redeemed
       Cm                  Bb
To the one I sinned against
               Ab7     G7         F7
Because he was all I ever knew of love.
Verse: (follows same pattern as first verse)
Heaven help me for the way I am.
Save me from these evil deeds.
Before I get them done.
I know tomorrow brings the consequence
At hand.
But I keep livin this day like
The next will never come.
Oh, help me, but dont tell me
To deny it.
Ive got to cleanse myself.
Of all these lies till Im good
Enough for him.
Ive got a lot to lose and im
Bettin high
So Im beggin you before it ends
Just tell me where to begin.
Chorus:
F7               Cm
What I need is a good defense
         F7                 Cm
cause Im feelin like a criminal.
      F7   
And I need to be redeemed
       Cm                  Bb
To the one I sinned against
               Ab7     G7         F7
Because he was all I ever knew of love.
Bridge:
Eb             B  
    Let me know the way
Ab                   B
    Before theres hell to pay.
Ab              B             Ab7
    Give me room to lay the law and let me go.
Ab                B
    Ive got to make a play
Ab             B
    To make my lover stay
 Eb                    B
    So, what would an angel say?
          Ab7
cause the devil wants to know.
Chorus:  (X2)
F7               Cm
What I need is a good defense
         F7                 Cm
cause Im feelin like a criminal.
      F7   
And I need to be redeemed
       Cm                  Bb
To the one I sinned against
               Ab7     G7         F7
Because he was all I ever knew of love.",,,,,2
I Like Big Butts,Sir Mixalot (Acoustic Version: Jonathan Coulton),NOT READY,,,,,
Put Your Hands Where My Eyes Can See,Busta Rhymes,NOT READY,,,,,
Hey Ya,Outkast,NOT READY,,,"[Intro]
One two three uh!
[Verse One - Andre 3000]
My baby don't mess around
Because she loves me so
And this I know for shooo..
Uh, But does she really wanna
But can't stand to see me
Walk out the dooor..
don't try to fight the feelin'
Because the thought alone is killing me right nooww..
Uh, thank god for mom and dad
For sticking two together
'Cause we don't know hooowww...
UH!
[Chorus:]
Heeeyyy... Yaaaaaaa..
Heeyy Yaaaaaaaa..
Heeeyyy... Yaaaaaaa..
Heeyy Yaaaaaaaa..
Heeeyyy... Yaaaaaaa..
Heeyy Yaaaaaaaa..
Heeeyyy... Yaaaaaaa..
Heeyy Yaaaaaaaa..
[Verse Two - Andre 3000]
You think you've got it
Ohh, you think you've got it
But got it just don't get it
Till' there's nothing at
AaaaaaaaAAAAAAAaaaaaaAAAAAAaaaaaallllll..
We get together
Ohh, we get together
But seperate's always better when there's feelings
InvooooooOOOOOOOoooooooOOOOOOooooooOOOOOlved
If what they say is ""Nothing is forever""
what makes, what makes, what makes
what makes, what makes LOOVVEEE?
(Love exception) So why you, why you
Why you, why you, why you are we so in denial
When we know we're not happy heeeerrreeee...
Y'all don't want me here you just wanna dance
[Chorus]
Heeeyyy... Yaaaaaaa.. (OHH OH)
Heeyy Yaaaaaaaa.. (OHH OH)
Heeeyyy... Yaaaaaaa.. (Don't want to meet your daddy, OHH OH)
Heeyy Yaaaaaaaa.. (Just want you in my Caddy OHH OH)
Heeeyyy... Yaaaaaaa.. (OHH OH, don't want to meet yo' mama OHH OH)
Heeyy Yaaaaaaaa.. (Just wan't to make you cumma OHH OH)
Heeeyyy... Yaaaaaaa.. (I'm, OHH OH I'm, OHH OH)
Heeyy Yaaaaaaaa.. (I'm just being honest OHH OH, I'm just being honest)
[Bridge - Andre 3000]
Hey, alright now
Alright now fellas, (YEAH!)
Now what's cooler than bein' cool?
(ICE COLD!) I can't hear ya'
I say what's cooler than bein' cool?
(ICE COLD!) whooo...
Alright, alright, alright, alright
Alright, alright, alright, alright
Alright, alright, alright, alright
Alright, alright, Ok now ladies, (YEAH!)
I see we gon' break it down in just a few seconds
don't make me break it down for nothin'
Now I wanna see y'all on y'all baddest behavior
but i see Lend me some suga', I am your neighbor
Shake it, shake, shake it, shake it (OHH OH)
Shake it, shake it, shake, shake it, shake it, shake it (OHH OH)
Shake it, shake it like a Polaroid Picture, shake it, shake it
Shh you got to, shake it, shh shake it, shake it, got to shake it
(Shake it Suga') shake it like a Poloroid Picture
[Verse Three - Andre 3000 (Repeating ""Shake it"" in background)]
Now while Beyonce's and Lucy Lui's
And baby dolls, get on the floor
(Get on the floor)
You know what to dooo..
You know what to dooo..
You know what to do!
[Chorus]
Heeeyyy... Yaaaaaaa.. (OHH OH)
Heeyy Yaaaaaaaa.. (OHH OH)
Heeeyyy... Yaaaaaaa.. (OHH OH)
Heeyy Yaaaaaaaa.. (Uh oh, Hey Ya)
Heeeyyy... Yaaaaaaa.. (OHH OH)
Heeyy Yaaaaaaaa.. (Uh, uh, OHH OH)
Heeeyyy... Yaaaaaaa.. (OHH OH)
Heeyy Yaaaaaaaa.. (OHH OH)
[Chorus continues until fade]
",,
,Digital Underground,NOT READY,,,,,
The Abstract,A Tribe Called Quest,Not Ready,,,,,
Because You Can’t You Won’t and You Don’t Stop,"Beastie Boys, The",Not Ready,,,,,
Gold Digger,Kanye West,Not Ready,,,,,
Hot in Here,Nelly (acoustic version by ...),Not Ready,,,,,
I Need Love,LL Cool J,Not Ready,,,,,
Ignition (remix),R Kelly,"warn singer that there’s no extra measure after bouncin on 24s...
hiphop beat 70bpm
|A    | D  D/C# | Bm      |E        |
No I'm not tryin to be rude, But hey pretty girl I'm feelin you
The way you do the things you do Remind me of my Lexus coup
Thats why im all up in yo grill Tryina get you to a hotel
You must be a football coach The way you got me playin the field
(CHORUS)
So baby gimme that toot toot,  Lemme give you that beep beep
Runnin her hands through my 'fro, Bouncin on 24's
It's the remix to ignition
Hot and fresh out the kitchen
Mama rollin that body
got every man in here wishin
Sippin on coke and rum
I'm like so what I'm drunk
It's the freakin weekend baby
I'm about to have me some fun
Bounce Bounce Bounce Bounce Bounce Bounce Bounce
Bounce Bounce Bounce
Now it's like murder she wrote Once I get you out them clothes
Privacy is on the door Still they can hear you screamin more
Girl I'm feelin what you feelin No more hopin and wishin
I'm bout to take my key and Stick it in the ignition
(CHORUS)
Crystall poppin in the stretch Navigator
We got food every where As if the party was catered
We got fellas to my left  Hunnies on my right
We bring em both together we got junkin all night
Then after the show its the (after party)
And after the party its the (hotel lobby)
And round about 4 you gotta (clear the lobby)
Then head take it to the room and freak somebody
(CHORUS)
Girl we off in this jeep, Foggin windows up
Blastin the radio In the back of my truck
Bouncin up and down, Stroke it round and round
To the remix, We just thuggin it out... 
",,,"No I'm not tryin to be rude, But hey pretty girl I'm feelin you
The way you do the things you do Remind me of my Lexus coup
Thats why im all up in yo grill Tryina get you to a hotel
You must be a football coach The way you got me playin the field
(CHORUS)
So baby gimme that toot toot,  Lemme give you that beep beep
Runnin her hands through my 'fro, Bouncin on 24's
It's the remix to ignition
Hot and fresh out the kitchen
Mama rollin that body
got every man in here wishin
Sippin on coke and rum
I'm like so what I'm drunk
It's the freakin weekend baby
I'm about to have me some fun
Bounce Bounce Bounce Bounce Bounce Bounce Bounce
Bounce Bounce Bounce
Now it's like murder she wrote Once I get you out them clothes
Privacy is on the door Still they can hear you screamin more
Girl I'm feelin what you feelin No more hopin and wishin
I'm bout to take my key and Stick it in the ignition
(CHORUS)
Crystall poppin in the stretch Navigator
We got food every where As if the party was catered
We got fellas to my left  Hunnies on my right
We bring em both together we got junkin all night
Then after the show its the (after party)
And after the party its the (hotel lobby)
And round about 4 you gotta (clear the lobby)
Then head take it to the room and freak somebody
(CHORUS)
Girl we off in this jeep, Foggin windows up
Blastin the radio In the back of my truck
Bouncin up and down, Stroke it round and round
To the remix, We just thuggin it out... 
",,8
Ms Fat Booty,Mos Def,Not Ready,,,,,
Runnin’,"Pharcyde, The",Not Ready,,,,,
True Dreams of Wichita,Soul Coughing,Not Ready,,,,,
Ready or Not,"Fugees, The","reason beat: ready or not
Bbm     F(lo)     F#      C#6  F(hi)
",,,"Ready or not, here I come, you can't hide gonna find you and take it slowly
Ready or not, here I come, you can't hide gonna find you and make you want me[CLEF:]
Now that I escape, sleepwalker awake
Those who could relate know the world ain't cake, Jail 
bars ain't golden gates...  Those who fake, they break
....When they meet their 400 pound mate If I could 
rule the world, Everyone would have a gun in the 
ghetto of course When giddyupin' on their horse
....I Kick a rhyme drinkin' moonshine, I pour a 
sip on the concrete, for the deceased, But no 
DON’T WEEP, Wyclef's in a state of sleep Thinkin' '
bout the robbeRY that I did last WEEK
Money in the bag, banker looked like a drag
I want to play with pelicans from here to Baghdad
Gun blast, think fast, I think I'm hit
My girl pinched my hips to see if I still exist.
I think not, I'll send a letter to my friends,
A born again hooligan only to be king again.
[Chorus:]
[LAURYN:]
I play my enemies like a game of chess, where I 
rest, No stress If you don't smoke sess, lest. 
I must confess, my destiny's manifest
In some Goretex and sweats I make treks like I'm homeless
...Rap orgies with Porgy and Bess,
Capture your bounty like Elliot Ness, YES
Bless you if you represent the Fu, But I'll 
hex you with some witch's brew if you're Doo Doo 
Voo Doo, I can do what you do, easy, 
BELIEVE ME Frontin' niggas give me hee-bee-gee-bees
So while you're imitating Al Capone I'll be 
Nina Simone and defacating on your microphone.
Ready or not, here I come, you can't hide gonna find you and take it slowly
You can't run away From these styles I got, oh 
baby, hey baby, Cause I got a lot, oh yeah
And anywhere you go my whole crew gonna know, oh 
baby...        You can't hide from the block, oh no.
[PRAZ:]
Ready or not, refugees takin' over
The Buffalo soldier, dread-lock rasta
On the twelfth hour, fly by in my bomber
Crews run for cover, now they're under pushin' up flowers
...Superfly true lies, do or die, Toss me high
only puff LA with my crew from lock high
I refugee from Guantanamo Bay
Dance around the border like I'm Cassius Clay
[Chorus (Lauryn) REPEAT 3X:]
",,3
Fu Gee La,"Fugees, The",NOT READY (request),,,,,
Gold Digger,Kanye West,NOT READY (request),,,,,
All Falls Down,Kanye West,NOT READY (request),,,,,
Ms Jackson,Outkast,NOT READY (request),,,,,
Roses,Outkast,NOT READY (request),,,,,
‘03 Bonnie and Clyde,Jay Z,NOT READY (request),,,,,
Superstar,Lupe Fiasco,NOT READY (request),,,,,
Pissing in the Wind,Badly Drawn Boy,NOT READY,,,,,
Another Lonely Day,Ben Harper,NOT READY,,,,,
Eye of the Tiger,Survivor,NOT READY,,,,,
You’re So Vain,Carly Simon,NOT READY,,,,,
?,Foo Fighters,NOT READY,,,,,
Kooks,David Bowie,NOT READY,,,"Will you stay in our Lovers' Story
If you stay you won't be sorry
'Cause we believe in you
Soon you'll grow so take a chance
With a couple of Kooks
Hung up on romancing
Will you stay in our Lovers' Story
If you stay you won't be sorry
'Cause we believe in you
Soon you'll grow so take a chance
With a couple of Kooks
Hung up on romancing
We bought a lot of things to keep you warm and dry
And a funny old crib on which the paint won't dry
I bought you a pair of shoes
A trumpet you can blow
And a book of rules
On what to say to people when they pick on you
'Cause if you stay with us you're gonna be pretty Kookie too
Will you stay in my Lovers' Story
If you stay you won't be sorry
'Cause we believe in you
Soon you'll grow so take a chance
With a couple of Kooks
Hung up on romancing
And if you ever have to go to school
Remember how they messed up this old fool
Don't pick fights with the bullies or the cads
'Cause I'm not much cop at punching
Other people's Dads
And if the homework brings you down
Then we'll throw it on the fire
And take the car downtown
Will you stay in our Lovers' Story
If you stay you won't be sorry
'Cause we believe in you
Soon you'll grow so take a chance
With a couple of Kooks
Hung up on romancing
Will you stay in our Lovers' Story
If you stay you won't be sorry
'Cause we believe in you
Soon you'll grow so take a chance
With a couple of Kooks
Hung up on romancing
Will you stay
",,
